age,area,atmDistance,balconies,childrenPlayArea,clubHouse,garden,gym,hospitalDistance,joggingTrack,lift,powerBackup,price,restrauntDistance,schoolDistance,security,shoppingDistance,sportsFacility,status,swimmingPool
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,3800000,0,0.18453604413197966,0,0,0,0,0
0,1500,0.8782551743169534,1,0,0,0,0,0.23284148114223718,0,0,0,3950000,0.5151961519359208,0.3163184023281781,0,0.4973647713029686,0,0,0
0,1300,0.2939350719481758,1,0,0,0,0,0.3177038540233048,0,0,0,5200000,0.2829481959379343,0.31645652525904294,0,0.2785449977625244,0,0,0
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,4500000,0,0.18453604413197966,0,0,0,0,0
0,2100,0.722318816640225,1,0,0,0,0,0.6759544249247429,0,0,0,8000000,0.728412236051722,0.7159551477696197,0,0.7545290675979964,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,4500000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,2100,0.6137641779088492,1,0,0,0,0,0.6456298691406334,0,0,0,8000000,0.6242365922516401,0.6483687216857055,0,0.6504553768207366,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,2100,0.722318816640225,1,0,0,0,0,0.6759544249247429,0,0,0,8000000,0.728412236051722,0.7159551477696197,0,0.7545290675979964,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,4500000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,2500,0,1,0,0,0,0,0,0,0,0,7291000,0,0,0,0,0,0,0
0,1500,0.6137641779088492,1,0,0,0,0,0.6456298691406334,0,0,0,4250000,0.6242365922516401,0.6483687216857055,0,0.6504553768207366,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,9532,0.2403981291388654,0,0,0,0,0,0.29319714674218006,0,0,0,4950000,0.2052233762833605,0.2668550376345395,0,0.21230228497886688,0,2,0
0,1250,0,1,0,0,0,0,0.16620083086467302,0,0,0,4050000,0,0.18453604413197966,0,0,0,0,0
0,2100,0.6662264751987248,1,0,0,0,0,0.6466786942526338,0,0,0,8500000,0.6515497117862921,0.6770381958803663,0,0.6960085414899525,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
0,2100,0.33149071073570724,1,0,0,0,0,0.31896957631795936,0,0,0,8000000,0.3690982541018343,0.3369057926189307,0,0.31583746921300443,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1250,0.5464036690387111,1,0,0,0,0,0.5323730765611945,0,0,0,3950000,0.5323767052369607,0.5447584967927985,0,0.5728392837255397,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,20000,0.29691394951566485,0,0,0,0,0,0.33586285604484134,0,0,0,24300000,0.3415507335326599,0.31091232846430306,0,0.2461791928364352,0,2,0
2,1550,0.34807252213500706,1,0,0,0,0,0.34061635006965135,0,0,0,6400000,0.35071576928798626,0.3418355814932292,0,0.30714333675707217,0,1,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,2500,0,1,0,0,0,0,0,0,0,0,7291000,0,0,0,0,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1500,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0.1607906431381912,0,0,0,3900000,0,0.29948961571462496,0,0,0,0,0
0,1850,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,7500000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,917,0.5627263843474477,2,0,0,1,1,0.5353745987397386,0,1,1,5500000,0.5665732847691308,0.5288696511974664,1,0.5436511219461293,1,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,5390000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,2100,0.6825897031222594,1,0,0,0,0,0.8172693937008984,0,0,0,8500000,0.7600544234790985,0.8090932231910495,0,0.6871004237800592,0,0,0
0,1300,0.24482301863563843,1,0,0,0,1,0.2403176458745322,0,0,0,6500000,0.23988567887684675,0.2657841915777771,0,0.2991129143071913,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,2100,0.28983161927402606,1,0,0,0,0,0.30738456091675415,0,0,0,8000000,0.27999460015856176,0.30530393893121366,0,0.31525683304151964,0,0,0
0,2100,0.4286405440269366,1,0,0,0,0,0.4696421095957676,0,0,0,8000000,0.4062072059961728,0.4336752627840845,0,0.48531380792228007,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3750000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3900000,0,0,0,0,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,2100,0.6825897031222594,1,0,0,0,0,0.8172693937008984,0,0,0,8500000,0.7600544234790985,0.8090932231910495,0,0.6871004237800592,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
2,2500,0,2,0,0,0,0,0,0,0,0,7743000,0,0,0,0,0,1,0
0,2100,0.33149071073570724,1,0,0,0,0,0.31896957631795936,0,0,0,8000000,0.3690982541018343,0.3369057926189307,0,0.31583746921300443,0,0,0
0,2814,0.37556090179190704,0,1,1,0,1,0.31863368292075167,1,0,1,19500000,0.36134643843330105,0.3873513239980392,0,0.3709838138752374,1,0,1
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,4250000,0,0.18453604413197966,0,0,0,0,0
0,1500,0,1,0,0,0,0,0.15621909551751478,0,0,0,4250000,0,0.17266671339573184,0,0,0,0,0
1,2500,0,1,0,0,0,0,0,0,0,0,7344000,0,0,0,0,0,1,0
0,1500,0,1,0,0,0,0,0,0,0,0,3900000,0,0,0,0,0,0,0
0,1381,0.5627263843474477,3,0,0,1,1,0.5353745987397386,0,1,1,8300000,0.5665732847691308,0.5288696511974664,1,0.5436511219461293,1,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1890,0.399154585093417,0,1,1,0,1,0.4249377264179398,0,0,1,8800000,0.44427386999011403,0.38484523188737335,0,0.3259052844386684,0,0,0
0,2100,1.8220819003874686,1,0,1,0,1,0.3879359226606149,0,0,0,8000000,3.017106942980788,0.3004394788983867,0,0.5858793598292535,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3750000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0.16620083086467302,0,0,0,4000000,0,0.18453604413197966,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3130000,0,0,0,0,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,2100,0.92532916876876,1,0,1,0,1,0.9009638644580303,0,0,0,8000000,0.8542771639639999,0.9003939690249887,0,1.001354643690356,0,0,0
0,8712,0.3458000917650979,0,0,0,0,0,0.346449430699042,0,0,0,9750000,0.3133449763819739,0.360618410223348,0,0.3534440338995546,0,2,0
0,1500,0,1,0,0,0,0,0.15621909551751478,0,0,0,4250000,0,0.17266671339573184,0,0,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,4250000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
1,1402,0.44911407813915594,0,0,0,0,0,0.4652400945460411,0,0,0,7961000,0.4713575566187188,0.46118728018601735,0,0.4631031065007712,0,1,0
0,2100,0.6137641779088492,1,0,1,0,1,0.6456298691406334,0,0,0,8000000,0.6242365922516401,0.6483687216857055,0,0.6504553768207366,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3900000,0,0.18644862974634957,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3900000,0,0,0,0,0,0,0
