age,amneties,area,atmDistance,balconies,bathrooms,hospitalDistance,price,restrauntDistance,schoolDistance,shoppingDistance,status
6,0,2100,1.0881943475514297,0,4,0.9097656036660635,12000000,0.9856733073247274,1.1096618386365755,1.033816397056108,3
0,0,1250,0,1,3,0.16620083086467302,4050000,0,0.18453604413197966,0,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
0,0,1250,0,0,3,0,4000000,0,0,0,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1500,0,1,3,0,4250000,0,0.14900481836140614,0,2
0,2,2100,0.4781225922119521,1,3,0.46926402445483767,8000000,0.4633084520355296,0.5097809297626035,0.5186143843658045,2
0,0,2178,0.20679409118763983,0,0,0.2286882412264857,2160000,0.20969207784433508,0.22877073411457727,0.21600453522204366,1
0,0,1500,0,1,3,0,3800000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
6,0,1550,0.2939350719481758,1,4,0.3177038540233048,6200000,0.2829481959379343,0.31645652525904294,0.2785449977625244,3
0,0,2100,0.722318816640225,1,1,0.6759544249247429,8500000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,0,2100,0.722318816640225,1,3,0.6759544249247429,8000000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,2,2100,0.289074006704174,1,3,0.2527858244836698,8000000,0.2822711481826336,0.2803155746092486,0.28318517936955817,2
0,0,1253,0.3020541112525854,0,2,0.3005224352021214,5800000,0.2904190635024688,0.2721430705236056,0.2871332867361035,3
0,0,1500,0,1,3,0,3800000,0,0,0,2
0,0,12000,0,0,0,0.2027846689270152,3000000,0,0,0,1
0,0,2100,0.33149071073570724,1,3,0.31896957631795936,7600000,0.3690982541018343,0.3369057926189307,0.31583746921300443,2
0,0,1000,0,0,3,0,3100000,0,0,0,2
4,0,2130,0.3846630849626677,0,0,0.43367540121057885,7500000,0.31972613219737595,0.35304027448662656,0.2834924143625109,3
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,20000,0.29691394951566485,0,0,0.33586285604484134,24300000,0.3415507335326599,0.31091232846430306,0.2461791928364352,1
0,0,1500,0,1,3,0,3800000,0,0,0,2
6,6,1450,0.5526112425652638,1,3,0.6264479240979617,7000000,0.5854340715911353,0.5697165311071606,0.5883167034000799,3
4,9,1146,0.28006374444142756,0,2,0.27001586843048503,9000000,0.3085698919645262,0.2787825531236418,0.27597687942887167,3
